,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD,spent,Base carbon source,Short name,Background,Partner
199,C9,2,1200000000.0,Oa,Oa,Ml_mannose,0.001,True,Mannose,Ml,Ml,No partner
200,C11,2,660000000.0,Oa,At+Oa,Ml_mannose,0.001,True,Mannose,Ml (At),Ml,At
201,C12,2,440000000.0,Oa,Ct+Oa,Ml_mannose,0.001,True,Mannose,Ml (Ct),Ml,Ct
202,D3,2,400000000.0,Oa,Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
203,D5,2,100000000.0,Oa,At+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
204,D6,2,400000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
205,E3,2,500000000.0,Oa,Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct,Ct,No partner
206,E5,2,220000000.0,Oa,At+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (At),Ct,At
207,E6,2,260000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001,True,Isoleucine,Ct (Ml),Ct,Ml
208,G10,2,10000000.0,Oa,Oa,No CS,0.001,True,No CS,No CS,No CS,No partner
209,G11,2,16000000.0,Oa,Oa,No CS,0.001,True,No CS,No CS,No CS,No partner
210,G12,2,6000000.0,Oa,Oa,No CS,0.001,True,No CS,No CS,No CS,No partner
211,H10,2,220000000.0,Oa,Oa,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
212,H11,2,160000000.0,Oa,Oa,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
213,H12,2,300000000.0,Oa,Oa,Oa_mannose,0.001,True,Mannose,Oa,Oa,No partner
214,A1,5,7600000000.0,At,At+Ct,M9_mannose,0.001,False,Mannose,Fresh (Ct),Fresh (coculture),Ct
215,A2,5,5600000000.0,At,At+Ml,M9_mannose,0.001,False,Mannose,Fresh (Ml),Fresh (coculture),Ml
216,A3,5,7000000000.0,At,At+Oa,M9_mannose,0.001,False,Mannose,Fresh (Oa),Fresh (coculture),Oa
217,A7,5,8400000000.0,At,At+Oa,M9_mannose+thiamine,0.001,False,Mannose,Fresh + T (Oa),Fresh (coculture),Oa
218,A10,5,4000000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001,False,Mannose,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml
219,B1,5,7600000000.0,At,At+Ct,M9_mannose,0.001,False,Mannose,Fresh (Ct),Fresh (coculture),Ct
220,B2,5,5600000000.0,At,At+Ml,M9_mannose,0.001,False,Mannose,Fresh (Ml),Fresh (coculture),Ml
221,B3,5,5600000000.0,At,At+Oa,M9_mannose,0.001,False,Mannose,Fresh (Oa),Fresh (coculture),Oa
222,B7,5,7800000000.0,At,At+Oa,M9_mannose+thiamine,0.001,False,Mannose,Fresh + T (Oa),Fresh (coculture),Oa
223,B10,5,3800000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001,False,Mannose,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml
224,C1,5,9800000000.0,At,At+Ct,M9_mannose,0.001,False,Mannose,Fresh (Ct),Fresh (coculture),Ct
225,C2,5,6600000000.0,At,At+Ml,M9_mannose,0.001,False,Mannose,Fresh (Ml),Fresh (coculture),Ml
226,C3,5,6000000000.0,At,At+Oa,M9_mannose,0.001,False,Mannose,Fresh (Oa),Fresh (coculture),Oa
227,C7,5,7400000000.0,At,At+Oa,M9_mannose+thiamine,0.001,False,Mannose,Fresh + T (Oa),Fresh (coculture),Oa
228,C10,5,3200000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001,False,Mannose,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml
229,D1,5,7400000000.0,At,At+Ct,M9_mannose,0.001,False,Mannose,Fresh (Ct),Fresh (coculture),Ct
230,D2,5,5600000000.0,At,At+Ml,M9_mannose,0.001,False,Mannose,Fresh (Ml),Fresh (coculture),Ml
231,D3,5,7000000000.0,At,At+Oa,M9_mannose,0.001,False,Mannose,Fresh (Oa),Fresh (coculture),Oa
232,D7,5,5600000000.0,At,At+Oa,M9_mannose+thiamine,0.001,False,Mannose,Fresh + T (Oa),Fresh (coculture),Oa
233,D10,5,2400000000.0,At,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline,0.001,False,Mannose,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml
234,E1,5,12000000000.0,At,At,M9_mannose,0.001,False,Mannose,Fresh,Fresh (monoculture),No partner
235,E5,5,6200000000.0,At,At,M9_mannose+thiamine,0.001,False,Mannose,Fresh + T,Fresh (monoculture),No partner
236,E9,5,4400000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline,0.001,False,Mannose,Fresh + Vit. & AA,Fresh (monoculture),No partner
237,F1,5,18000000000.0,At,At,M9_mannose,0.001,False,Mannose,Fresh,Fresh (monoculture),No partner
238,F5,5,4200000000.0,At,At,M9_mannose+thiamine,0.001,False,Mannose,Fresh + T,Fresh (monoculture),No partner
239,F9,5,4200000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline,0.001,False,Mannose,Fresh + Vit. & AA,Fresh (monoculture),No partner
240,G1,5,16000000000.0,At,At,M9_mannose,0.001,False,Mannose,Fresh,Fresh (monoculture),No partner
241,G5,5,4400000000.0,At,At,M9_mannose+thiamine,0.001,False,Mannose,Fresh + T,Fresh (monoculture),No partner
242,G9,5,5200000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline,0.001,False,Mannose,Fresh + Vit. & AA,Fresh (monoculture),No partner
243,H1,5,5000000000.0,At,At,M9_mannose,0.001,False,Mannose,Fresh,Fresh (monoculture),No partner
244,H5,5,4400000000.0,At,At,M9_mannose+thiamine,0.001,False,Mannose,Fresh + T,Fresh (monoculture),No partner
245,H9,5,5600000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline,0.001,False,Mannose,Fresh + Vit. & AA,Fresh (monoculture),No partner
