,Sample ID,Medium no.,Medium,Species,Timepoint,Hours,OD600
392,10C,10,MM- + AA + Biotin,Ml,12,72.0,1.046
393,11A,11,MM- + AA + Biotin + Thiamine,Ml,12,72.0,1.626
394,11B,11,MM- + AA + Biotin + Thiamine,Ml,12,72.0,1.563
395,11C,11,MM- + AA + Biotin + Thiamine,Ml,12,72.0,1.602
396,1A,1,No AA,Ml,13,188.0,0.01
397,1B,1,No AA,Ml,13,188.0,0.008
398,1C,1,No AA,Ml,13,188.0,0.009
399,2A,2,Cysteine,Ml,13,188.0,1.745
400,2B,2,Cysteine,Ml,13,188.0,1.566
401,2C,2,Cysteine,Ml,13,188.0,1.729
402,3A,3,Proline,Ml,13,188.0,0.012
403,3B,3,Proline,Ml,13,188.0,0.022
404,3C,3,Proline,Ml,13,188.0,0.007
405,4A,4,Cysteine + Proline,Ml,13,188.0,1.292
406,4B,4,Cysteine + Proline,Ml,13,188.0,1.272
407,4C,4,Cysteine + Proline,Ml,13,188.0,1.199
408,5A,5,All AA,Ml,13,188.0,1.76
409,5B,5,All AA,Ml,13,188.0,1.75
410,5C,5,All AA,Ml,13,188.0,1.793
411,6A,6,MM-,Oa,13,188.0,0.559
412,6B,6,MM-,Oa,13,188.0,0.569
413,6C,6,MM-,Oa,13,188.0,0.567
414,7A,7,MM- + Thiamine,Oa,13,188.0,1.979
415,7B,7,MM- + Thiamine,Oa,13,188.0,1.958
416,7C,7,MM- + Thiamine,Oa,13,188.0,1.844
417,8A,8,MM- + AA,Ml,13,188.0,0.563
418,8B,8,MM- + AA,Ml,13,188.0,0.604
419,8C,8,MM- + AA,Ml,13,188.0,0.508
420,9A,9,MM- + AA + Thiamine,Ml,13,188.0,1.063
421,9B,9,MM- + AA + Thiamine,Ml,13,188.0,1.9
422,9C,9,MM- + AA + Thiamine,Ml,13,188.0,1.069
423,10A,10,MM- + AA + Biotin,Ml,13,188.0,0.419
424,10B,10,MM- + AA + Biotin,Ml,13,188.0,0.429
425,10C,10,MM- + AA + Biotin,Ml,13,188.0,0.407
426,11A,11,MM- + AA + Biotin + Thiamine,Ml,13,188.0,1.578
427,11B,11,MM- + AA + Biotin + Thiamine,Ml,13,188.0,1.598
428,11C,11,MM- + AA + Biotin + Thiamine,Ml,13,188.0,1.54
